,2/11/26  last checked,,,,,
Item,Bills,Status as of last checked,Per Month,Total Limit/Debt,Due Date,Payment Method
SYSTEM,Shopify,PAID - FOR CURRENT MONTH,$9.00,$0.00,24th,Langley
MANDATORY,Cell Phone,PAID - FOR CURRENT MONTH,$155.00,$0.00,20th,DCU
MANDATORY,Mortgage,PAID - FOR CURRENT MONTH,"$2,625.54",$0.00,16th,DCU
SYSTEM,Godaddy,PAID - FOR CURRENT MONTH,$8.99,$0.00,13th,DCU-CREDIT CARD
MANDATORY,Gas Car,PAID - FOR CURRENT MONTH,$100.00,$0.00,N/A,
REGISTERED AGENTS,Register Agent - DEL ((302) 238-1798),CANCELED,,$0.00,,
REGISTERED AGENTS,Register Agent - FL,CANCELED,,,,
REGISTERED AGENTS,Register Agent - PHL,CANCELED,,$0.00,,
SYSTEM,Claude,DUE - FOR CURRENT MONTH,$20.00,,,
SYSTEM,Sora/Chat GPT,PAID - FOR CURRENT MONTH,$20.00,,,
SYSTEM,Midjourney,ON HOLD,,,,
SYSTEM,11Labs,ON HOLD,,,,
MANDATORY,Truist CC 2756 $400,PAID - FOR CURRENT MONTH,$27.00,,21ST,Truist Checking account
MANDATORY,Truist CC 3345 $4900,PAID - FOR CURRENT MONTH,$135.00,,24th,Truist Checking account
MANDATORY,DCU CC,PAID - FOR CURRENT MONTH,$221.00,,5th,DCU Checking
MANDATORY,Dover CC,PAID - FOR CURRENT MONTH,$27.00,,21st-23rd,Truist Checking account
MANDATORY,Thomas Boxing ,PAID - FOR CURRENT MONTH,$125.00,,20th,
MANDATORY,Taxes - Federal,DUE - FOR CURRENT MONTH,$250.00,,28th,DCU
MANDATORY,Taxes - State,DUE - FOR CURRENT MONTH,$125.00,,29th,DCU
SYSTEM,CURSOR,ON HOLD,$20.00,,,
MISC,SON HAIR CUT,DUE - FOR CURRENT MONTH,$40.00,,TWO WEEKS,CASH APP
MISC,YMCA,PAID - FOR CURRENT MONTH,$55.00,,9th,DCU CHECKING
SYSTEM,CANVA,ON HOLD,$0.00,,,
MISC,GAMEPASS,ON HOLD,$30.00,,17TH,
SYSTEM,Google Drive,DUE - FOR CURRENT MONTH,$10.00,,6th,
MISC,Post office BOX,PAID,$6.00,36 for 6 months,,
SYSTEM,MentorShip Joe,PAID,$25.00,,30th,
MISC,Time Share,PAID - FOR CURRENT MONTH,$115.00,"$2,000.00",22nd,NIHFCU- CC
MANDATORY,Langley CC,DUE - FOR CURRENT MONTH,$199.00,,19th,DCU - Checking account
MANDATORY,DCU PERSONAL LOAN,PAID - FOR CURRENT MONTH,$182.00,,19TH,DCU - Checking account
MANDATORY,CAR NOTE (NIHFCU),DUE - FOR MONTH ,$202.00,"$11,000.00",Feb 13TH,NIHFCU- Checking account
MANDATORY,CAR NOTE (DCU),DUE - FOR MONTH FEB 4TH,$475.00,"$30,000.00",Feb 4TH,DCU - Checking account
MANDATORY ,NIHFCU CREDIT CARD,PAID - FOR CURRENT MONTH,$25.00,"$2,000.00",20TH,NIHFCU- Checking account
INVESTMENT,COIN BASE - BITCOIN,DUE - FOR CURRENT MONTH,$200.00,"$100, PER PAYCHECK","1,15TH",DCU - Checking account
INVESTMENT,COIN BASE - ETH,DUE - FOR CURRENT MONTH,$200.00,"$100, PER PAYCHECK","1,15TH",DCU - Checking account
MANDATORY,CAR INSURANCE,PAID - FOR CURRENT MONTH,$293.00,300 & Malibu,26TH,DCU - CREDIT CARD
,,,,,,
TOTAL ALL,Total expenses per month (Outgoing),,"$5,925.53",,,
,,,,,,
Marnaysha Bills,Cell Phone ,PAID - FOR CURRENT MONTH,$75.00,,,
Marnaysha ,Rent,PAID - FOR CURRENT MONTH,$150.00,,,
Marnaysha ,Food,PAID - FOR CURRENT MONTH,$50.00,,,
Paycheck,BayHealth,,"$4,000.00",,Every two weeks,
Aliya,Client,,,,15th,
Jay,Client,,$100.00,,15TH,
Turo,Turo,,$200.00,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TOTAL ALL ,Total Revenue per month (Incoming),,"$4,575.00",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
TOTAL ALL ,Total Revenue per month (Incoming),,"$4,575.00",,,
TOTAL ALL,Total expenses per month (Outgoing),,"$5,925.53",,,
,,,,,,
,,,,,,
Total = ,,,"-$1,350.53",,,
